Model,Image size,Batch Size,N Channels,CV score,Diff CV,Diff CV %%,PrLB score,Diff Private LB,Diff Private LB %%,PubLB score,Diff Public LB,Diff Public LB %%,CV 5 channels,Private LB 5 ch,Public LB 5 ch,CV 4 channels,Private LB 4 ch,Public LB 4 ch,Remarks
EfficientNet B7 v1,512,8,3,0.8814,,,0.8673,,,0.8765,,0.00%,,,,,,,HSV
EfficientNet B7 v1,512,8,EI,0.8849,0.0035,0.40%,0.8767,0.0094,1.07%,0.8843,0.0078,0.88%,,,,0.00396,0.01072,0.00882,HSV - EI
EfficientNet B7 v1,512,8,5,0.8887,0.0073,0.82%,0.8667,-0.0006,-0.07%,0.8700,-0.0065,-0.75%,0.00821,-0.00069,-0.00747,,,,HSV - EI - MI
EfficientNet B7 v1,512,16,3,0.8773,,,0.8766,,,0.8908,,0.00%,,,,,,,HSV
EfficientNet B7 v1,512,16,EI,0.8865,0.0092,1.04%,0.8748,-0.0018,-0.21%,0.8809,-0.0099,-1.12%,,,,0.01038,-0.00206,-0.01124,HSV - EI
EfficientNet B7 v1,512,16,5,0.8842,0.0069,0.78%,0.8721,-0.0045,-0.52%,0.8790,-0.0118,-1.34%,0.00780,-0.00516,-0.01342,,,,HSV - EI - MI
EfficientNet B0 v2,256,64,3,0.8563,,,0.8524,,,0.8532,,0.00%,,,,,,,HSV
EfficientNet B0 v2,256,64,EI,0.8734,0.0171,1.96%,0.8593,0.0069,0.80%,0.8572,0.0040,0.47%,,,,0.01958,0.00803,0.00467,HSV - EI
EfficientNet B0 v2,256,64,5,0.8778,0.0215,2.45%,0.8542,0.0018,0.21%,0.8596,0.0064,0.74%,0.02449,0.00211,0.00745,,,,HSV - EI - MI
EfficientNet B0 v2,256,64,3,0.8602,,,0.8465,,,0.8498,,0.00%,,,,,,,15TTA HSV
